# Collocations

# Corpus: nature_full
# Query:  word,[lc="iron"|lemma_lc="iron"] 9677

	Freq	T-score	MI	logDice	
remained	5	2.026	3.413	3.742	
anaemia	4	1.989	7.521	3.742	
particularly	6	2.074	2.705	3.741	
quota	4	1.988	7.438	3.741	
Reactive	4	1.987	7.297	3.739	
sequestering	4	1.986	7.140	3.737	
REE	4	1.985	7.076	3.736	
Member	4	1.985	7.032	3.735	
PVA	4	1.985	7.032	3.735	
expression	15	2.585	1.588	3.734	
promote	5	2.020	3.373	3.734	
no	14	2.528	1.625	3.734	
crystals	5	2.019	3.367	3.733	
deficiencies	4	1.983	6.900	3.733	
delivers	4	1.981	6.701	3.729	
transporting	4	1.981	6.695	3.729	
chromium	4	1.981	6.681	3.728	
coculture	4	1.980	6.621	3.727	
two	21	2.893	1.440	3.727	
sequester	4	1.979	6.596	3.726	
K.	18	2.737	1.494	3.726	
Enzymatic	4	1.977	6.438	3.723	
electron	8	2.169	2.102	3.722	
Seawater	4	1.976	6.399	3.722	
scarcity	4	1.975	6.334	3.720	
around	7	2.111	2.306	3.720	
infection	8	2.164	2.090	3.716	
tricornutum	4	1.973	6.197	3.716	
remaining	5	2.006	3.280	3.714	
iodine	4	1.970	6.080	3.712	
relative	11	2.332	1.753	3.712	
silicic	4	1.970	6.036	3.711	
cores	5	2.003	3.262	3.709	
'	25	3.059	1.365	3.708	
reconstitution	4	1.968	5.944	3.708	
Oxidation	4	1.965	5.834	3.704	
aluminum	4	1.965	5.831	3.704	
lessons	4	1.964	5.790	3.702	
releasing	4	1.961	5.691	3.698	
sorption	4	1.959	5.625	3.695	
broad	5	1.992	3.197	3.694	
evidence	9	2.200	1.907	3.694	
residues	6	2.032	2.552	3.687	
some	12	2.360	1.650	3.685	
Neoproterozoic	4	1.952	5.369	3.683	
due	9	2.188	1.886	3.682	
shows	9	2.186	1.882	3.679	
near	6	2.025	2.527	3.678	
Links	4	1.947	5.241	3.676	
cations	4	1.947	5.226	3.675	
regulon	4	1.944	5.165	3.672	
deliver	4	1.944	5.161	3.671	
observed	15	2.506	1.503	3.671	
promoted	4	1.944	5.147	3.670	
carriers	4	1.943	5.142	3.670	
As	10	2.232	1.765	3.670	
adsorbed	4	1.943	5.123	3.669	
imposed	4	1.942	5.119	3.669	
;	59	4.285	1.178	3.667	
proxies	4	1.939	5.038	3.664	
3D	5	1.968	3.060	3.661	
spin	4	1.936	4.964	3.659	
derived	7	2.059	2.172	3.658	
increases	7	2.058	2.169	3.657	
colonization	5	1.964	3.039	3.656	
thereby	5	1.961	3.023	3.651	
growth	16	2.527	1.441	3.646	
rather	6	1.998	2.440	3.645	
does	7	2.043	2.134	3.641	
Biogeochemistry	4	1.922	4.684	3.638	
sensing	5	1.951	2.972	3.638	
ABC	4	1.922	4.683	3.638	
tightly	4	1.920	4.638	3.634	
diffusion	5	1.945	2.944	3.631	
plays	4	1.917	4.592	3.631	
electric	4	1.917	4.591	3.630	
ratio	8	2.085	1.927	3.630	
demonstrate	5	1.942	2.928	3.626	
after	15	2.445	1.439	3.623	
Oxygen	4	1.911	4.486	3.621	
thought	5	1.938	2.907	3.621	
mainly	5	1.936	2.897	3.618	
saturated	4	1.908	4.436	3.616	
continental	5	1.932	2.878	3.613	
indicate	9	2.117	1.764	3.610	
therefore	7	2.015	2.068	3.609	
condensation	4	1.901	4.340	3.607	
abrupt	4	1.900	4.327	3.606	
load	4	1.899	4.312	3.604	
neither	4	1.898	4.288	3.602	
balance	5	1.923	2.836	3.601	
had	9	2.106	1.747	3.599	
then	11	2.209	1.582	3.599	
loss	7	2.003	2.040	3.596	
dissolution	4	1.891	4.198	3.592	
signatures	4	1.888	4.163	3.588	
explain	5	1.913	2.790	3.588	
susceptible	4	1.885	4.118	3.583	
indicates	7	1.991	2.014	3.583	
indicators	4	1.882	4.085	3.579	
fate	4	1.882	4.084	3.579	
pH	9	2.081	1.707	3.575	
abundance	9	2.081	1.706	3.575	
nutrients	5	1.898	2.727	3.569	
still	6	1.935	2.250	3.569	
these	25	2.823	1.199	3.566	
rapidly	5	1.896	2.717	3.566	
bloom	4	1.872	3.963	3.565	
grazing	4	1.869	3.929	3.560	
predominantly	4	1.868	3.919	3.559	
W.	14	2.310	1.386	3.558	
made	6	1.925	2.225	3.558	
Regulation	4	1.866	3.901	3.557	
sea	8	2.009	1.788	3.553	
understanding	6	1.921	2.212	3.553	
demand	4	1.862	3.854	3.550	
occurred	5	1.881	2.653	3.547	
EMBO	4	1.857	3.807	3.544	
versus	6	1.911	2.185	3.541	
using	29	2.940	1.139	3.541	
al.	55	3.804	1.038	3.530	
Y.	9	2.032	1.633	3.530	
idea	4	1.847	3.704	3.529	
medium	7	1.940	1.906	3.528	
p.p.m.	4	1.845	3.685	3.526	
F.	12	2.170	1.421	3.525	
found	12	2.168	1.419	3.523	
catalysts	4	1.840	3.640	3.519	
function	10	2.067	1.529	3.518	
impact	6	1.889	2.128	3.517	
supports	4	1.837	3.614	3.515	
across	8	1.965	1.712	3.509	
emission	5	1.848	2.527	3.507	
inhibits	4	1.829	3.547	3.505	
lack	5	1.847	2.521	3.505	
cyanobacterial	4	1.827	3.530	3.502	
consequence	4	1.823	3.495	3.496	
therapy	4	1.822	3.488	3.495	
level	9	1.993	1.575	3.494	
maps	4	1.815	3.433	3.486	
synthesis	7	1.899	1.824	3.486	
makes	4	1.813	3.416	3.483	
respiratory	4	1.809	3.386	3.478	
edge	4	1.807	3.373	3.475	
incorporation	4	1.806	3.364	3.474	
becomes	4	1.805	3.361	3.473	
cytoplasmic	4	1.805	3.359	3.473	
influenced	4	1.805	3.358	3.473	
different	17	2.324	1.197	3.472	
samples	14	2.190	1.270	3.470	
towards	5	1.817	2.417	3.469	
anoxic	4	1.801	3.330	3.467	
mostly	4	1.801	3.329	3.467	
enhance	4	1.799	3.312	3.464	
capture	4	1.792	3.264	3.455	
trace	4	1.791	3.256	3.454	
all	19	2.369	1.132	3.448	
maintain	4	1.785	3.217	3.446	
Atmospheric	4	1.782	3.200	3.443	
lead	5	1.793	2.335	3.440	
a	179	6.118	0.882	3.440	
global	10	1.972	1.409	3.437	
D.	21	2.431	1.090	3.436	
instead	4	1.777	3.164	3.435	
matter	5	1.785	2.308	3.431	
Similarly	4	1.773	3.138	3.430	
only	14	2.130	1.215	3.428	
subjected	4	1.769	3.116	3.426	
bands	4	1.769	3.114	3.425	
regulator	4	1.768	3.105	3.423	
aerosol	4	1.767	3.102	3.423	
serum	4	1.767	3.099	3.422	
stimulation	4	1.765	3.088	3.420	
need	5	1.773	2.272	3.417	
J.	53	3.436	0.921	3.417	
restriction	4	1.763	3.075	3.417	
)	401	8.864	0.843	3.416	
hydrogen	5	1.769	2.258	3.412	
enough	4	1.757	3.041	3.410	
show	9	1.896	1.442	3.408	
elements	5	1.762	2.239	3.405	
?	7	1.817	1.674	3.405	
Abstract	7	1.816	1.672	3.403	
procedure	4	1.750	2.998	3.401	
nM	4	1.747	2.981	3.397	
ambient	4	1.746	2.979	3.396	
have	30	2.680	0.969	3.396	
g	7	1.802	1.648	3.390	
yields	4	1.741	2.952	3.390	
efficiency	5	1.748	2.196	3.389	
profiles	5	1.747	2.194	3.388	
despite	4	1.736	2.922	3.383	
about	9	1.857	1.392	3.375	
together	5	1.735	2.158	3.374	
Furthermore	5	1.728	2.139	3.367	
spectra	5	1.725	2.131	3.364	
h	9	1.839	1.369	3.360	
cultures	5	1.722	2.122	3.360	
solutions	4	1.715	2.813	3.358	
driven	4	1.714	2.807	3.356	
induce	4	1.712	2.794	3.353	
primarily	4	1.708	2.778	3.349	
interactions	7	1.752	1.567	3.344	
meteorites11	3	1.732	11.679	3.344	
corroding	3	1.731	11.416	3.344	
ecumenical	3	1.731	11.416	3.344	
Cr/Fe	3	1.731	11.193	3.344	
gangue	3	1.731	11.001	3.343	
Size-fractionated	3	1.731	11.001	3.343	
colimitation	3	1.731	11.001	3.343	
siderophore-bound	3	1.731	10.831	3.343	
apoplasmic	3	1.731	10.679	3.343	
carbides	3	1.731	10.541	3.343	
syndepositional	3	1.731	10.300	3.343	
komatiitic	3	1.731	10.193	3.343	
Cu-Au	3	1.730	10.094	3.342	
ferrimagnetic	3	1.730	10.001	3.342	
ribulose-5-phosphate	3	1.730	9.913	3.342	
piracy	3	1.730	9.913	3.342	
mixed-valence	3	1.730	9.913	3.342	
oxygen-independent	3	1.730	9.753	3.342	
XFe	3	1.730	9.679	3.342	
R.	23	2.328	0.958	3.341	
withholding	3	1.730	9.477	3.341	
Mononuclear	3	1.730	9.477	3.341	
relieving	3	1.729	9.357	3.341	
Porphyrin	3	1.729	9.357	3.341	
Ribbons	3	1.729	9.300	3.341	
corroded	3	1.729	9.300	3.341	
low-spin	3	1.729	9.094	3.340	
FeHR/FeT	3	1.729	9.001	3.340	
dumping	3	1.729	9.001	3.340	
hydro	3	1.729	8.956	3.340	
blobs	3	1.728	8.913	3.340	
exo	3	1.728	8.753	3.339	
Timeball	3	1.728	8.715	3.339	
nitrate-dependent	3	1.728	8.574	3.338	
solubilize	3	1.727	8.446	3.338	
thus	6	1.719	1.746	3.337	
halogenases	3	1.727	8.328	3.337	
record	5	1.701	2.063	3.337	
hexahydrate	3	1.726	8.168	3.336	
porphyrins	3	1.726	8.118	3.336	
dioxygen	3	1.726	8.118	3.336	
SyrB2	3	1.725	8.023	3.335	
Availability	3	1.725	7.978	3.335	
3D-GN	3	1.725	7.935	3.335	
Gallionella	3	1.725	7.913	3.335	
mobilize	3	1.725	7.871	3.334	
battle	3	1.725	7.851	3.334	
exporter	3	1.724	7.831	3.334	
Cryogenian	3	1.724	7.811	3.334	
chelating	3	1.724	7.772	3.333	
counteracting	3	1.723	7.643	3.332	
donation	3	1.723	7.608	3.332	
neutrophilic	3	1.723	7.591	3.332	
immiscible	3	1.723	7.574	3.332	
shortages	3	1.723	7.558	3.332	
gene	16	2.059	1.043	3.331	
replaces	3	1.722	7.371	3.330	
siderophile	3	1.721	7.328	3.329	
hemozoin	3	1.721	7.300	3.329	
process	7	1.736	1.541	3.329	
oxygenases	3	1.721	7.259	3.329	
Heterogeneity	3	1.720	7.130	3.327	
host-derived	3	1.719	7.046	3.326	
paramagnetic	3	1.719	7.012	3.326	
HMP-P	3	1.717	6.892	3.324	

